"store_id","base_price","promo_price","name","brand"
369,285,,Zuegg I frutteti di Oswald Zuegg Fragole 320 g,Zuegg
330,199,,Zuegg Skipper Melograno Intenso 1000 ml,Zuegg Skipper
444,319,269,Zuegg La Pasticcera Fragole 700 g,Zuegg
6628,199,,Zuegg Skipper Mela Limpida Senza zuccheri aggiunti 1000 ml,Zuegg Skipper
7683,599,,"Zuegg, I frutteti di Oswald nettare di melagrana 6x125 ml",Zuegg
3957,290,,Zuegg Zero Zuccheri Aggiunti* Arance 220 g,ZUEGG
195,305,,Zuegg I frutteti di Oswald Zuegg Fichi 330 g,Zuegg
200,305,,Zuegg I frutteti di Oswald Zuegg Fichi 330 g,Zuegg
218,305,199,Zuegg I frutteti di Oswald Zuegg Fichi 330 g,Zuegg
222,299,,Zuegg I frutteti di Oswald Zuegg Fichi 330 g,Zuegg
240,305,,Zuegg I frutteti di Oswald Zuegg Fichi 330 g,Zuegg
262,219,,Zuegg I frutteti di Oswald Zuegg Fichi 330 g,Zuegg
273,305,199,Zuegg I frutteti di Oswald Zuegg Fichi 330 g,Zuegg
330,305,199,Zuegg I frutteti di Oswald Zuegg Fichi 330 g,Zuegg
345,305,,Zuegg I frutteti di Oswald Zuegg Fichi 330 g,Zuegg
4425,199,,Zuegg Fruttino Snack-Break Mirtillo 4 x 40 g,ZUEGG
324,195,,Zuegg Skipper ACE Senza zuccheri aggiunti* 3 x 200 ml,Zuegg Skipper
4249,175,,Zuegg Nettare di Mela 3 x 200 ml,ZUEGG
3968,285,,Zuegg Zero Zuccheri Aggiunti* Albicocche 220 g,ZUEGG
7801,299,,"Zuegg, La Pasticcera confettura di ciliegie 600 g",Zuegg
7795,299,,"Zuegg, La Pasticcera confettura di ciliegie 600 g",Zuegg
6852,249,,Zuegg I frutteti di Oswald Zuegg Zero Residui* Nettare Albicocche Italiane 500 ml,Zuegg
4213,199,,Zuegg Nettare di Pera 3 x 200 ml,ZUEGG
7779,180,,"Zuegg, Skipper arancia rossa senza zuccheri aggiunti 1 l",Zuegg
7824,185,,"Zuegg, Skipper frutti tropicali intenso 1 l",Zuegg
7826,299,,"Zuegg, La Pasticcera confettura di albicocche 600 g",Zuegg
174,305,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
175,305,199,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
190,305,199,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
195,305,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
200,305,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
208,305,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
218,305,199,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
221,305,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
256,305,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
262,219,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
282,309,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
324,305,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
374,219,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
388,335,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,Zuegg
172,319,269,Zuegg La Pasticcera Pesche 700 g,Zuegg
4499,550,,Zuegg I frutteti di Oswald Nettare di Melograno Italiano 6 x 125 ml,ZUEGG
4509,559,,Zuegg I frutteti di Oswald Nettare di Melograno Italiano 6 x 125 ml,ZUEGG
4513,549,,Zuegg I frutteti di Oswald Nettare di Melograno Italiano 6 x 125 ml,ZUEGG
4545,559,,Zuegg I frutteti di Oswald Nettare di Melograno Italiano 6 x 125 ml,ZUEGG
4565,575,,Zuegg I frutteti di Oswald Nettare di Melograno Italiano 6 x 125 ml,ZUEGG
4584,541,,Zuegg I frutteti di Oswald Nettare di Melograno Italiano 6 x 125 ml,ZUEGG
4587,590,,Zuegg I frutteti di Oswald Nettare di Melograno Italiano 6 x 125 ml,ZUEGG
3965,269,179,Zuegg I frutteti di Oswald Zuegg Albicocche 320 g,ZUEGG
4062,239,,Zuegg I frutteti di Oswald Zuegg Albicocche 320 g,ZUEGG
4341,239,159,Zuegg I frutteti di Oswald Zuegg Albicocche 320 g,ZUEGG
4421,199,,Zuegg I frutteti di Oswald Zuegg Albicocche 320 g,ZUEGG
4450,245,199,Zuegg I frutteti di Oswald Zuegg Albicocche 320 g,ZUEGG
4479,239,,Zuegg I frutteti di Oswald Zuegg Albicocche 320 g,ZUEGG
4561,239,199,Zuegg I frutteti di Oswald Zuegg Albicocche 320 g,ZUEGG
54789,252,,Zuegg I frutteti di Oswald Zuegg Albicocche 320 g,ZUEGG
4539,219,,Zuegg I frutteti di Oswald Zuegg Amarene 320 g,ZUEGG
4143,239,,Zuegg I frutteti di Oswald Zuegg Arance 330 g,ZUEGG
4058,239,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,ZUEGG
4280,239,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,ZUEGG
4285,239,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,ZUEGG
4323,249,,Zuegg I frutteti di Oswald Zuegg Frutti di Bosco 320 g,ZUEGG
4122,239,,Zuegg I frutteti di Oswald Zuegg More 320 g,ZUEGG
4166,255,215,Zuegg I frutteti di Oswald Zuegg More 320 g,ZUEGG
4532,285,,Zuegg I frutteti di Oswald Zuegg More 320 g,ZUEGG
18339,239,210,Zuegg I frutteti di Oswald Zuegg More 320 g,ZUEGG
4054,559,,Zuegg I frutteti di Oswald Zuegg Nettare di Mirtillo Nero Selvatico 6 x 125 ml,ZUEGG
4080,559,,Zuegg I frutteti di Oswald Zuegg Nettare di Mirtillo Nero Selvatico 6 x 125 ml,ZUEGG
4211,559,,Zuegg I frutteti di Oswald Zuegg Nettare di Mirtillo Nero Selvatico 6 x 125 ml,ZUEGG
4345,550,,Zuegg I frutteti di Oswald Zuegg Nettare di Mirtillo Nero Selvatico 6 x 125 ml,ZUEGG
4445,559,,Zuegg I frutteti di Oswald Zuegg Nettare di Mirtillo Nero Selvatico 6 x 125 ml,ZUEGG
4099,239,,Zuegg I frutteti di Oswald Zuegg Pere Williams 320 g,ZUEGG
4604,289,,Zuegg I frutteti di Oswald Zuegg Pere Williams 320 g,ZUEGG
4065,239,,Zuegg I frutteti di Oswald Zuegg Prugne 330 g,ZUEGG
4134,239,,Zuegg I frutteti di Oswald Zuegg Prugne 330 g,ZUEGG
4426,219,,Zuegg I frutteti di Oswald Zuegg Prugne 330 g,ZUEGG
4539,219,,Zuegg I frutteti di Oswald Zuegg Visciole 320 g,ZUEGG
4466,290,,Zuegg Zero Zuccheri Aggiunti* Arance 220 g,ZUEGG
4632,259,,Zuegg Zero Zuccheri Aggiunti* Arance 220 g,ZUEGG
4622,289,,Zuegg Zero Zuccheri Aggiunti* Fragole e Fragoline di Bosco 220 g,ZUEGG
194,205,,Zuegg Skipper ACE Senza zuccheri aggiunti 1000 ml,Zuegg Skipper
7839,199,119,"Zuegg, I frutteti di Oswald marmellata di arance 320 g",Zuegg
8219,155,,Zuegg Skipper Arancia Senza Zuccheri Aggiunti 1000 Ml,zuegg skipper
7846,189,94,"Zuegg, Skipper Frutti Rossi Intenso e fonte di vitamina C 1 l",Zuegg
403,199,,Zuegg Skipper Arancia Intenso 1000 ml,Zuegg Skipper
4050,249,,Zuegg I frutteti di Oswald Zuegg Fichi 330 g,ZUEGG
29352,162,,Zuegg Skipper Pesca Senza zuccheri aggiunti* 3 x 200 ml,ZUEGG
29352,183,,Zuegg Skipper Melograno 1000 ml,ZUEGG
7821,289,,"Zuegg, Skipper Solo Frutta spremuta arancia bionda 750 ml",Zuegg
7804,189,,"Zuegg, Skipper Melograno Senza Zuccheri Aggiunti 1 l",Zuegg
7791,189,,"Zuegg, Skipper Melograno Senza Zuccheri Aggiunti 1 l",Zuegg
7782,189,94,"Zuegg, Skipper Ananas Intenso e fonte di vitamina C 1 l",Zuegg
7816,298,,"Zuegg, Skipper Solo Frutta spremuta agrumi + carota 750 ml",Zuegg
7683,185,,"Zuegg, Skipper Melograno Senza Zuccheri Aggiunti 1 l",Zuegg
7817,299,,"Zuegg, La Pasticcera confettura di albicocche 600 g",Zuegg
4154,290,,Zuegg Zero Zuccheri Aggiunti* Arance 220 g,ZUEGG
4213,299,,Zuegg I frutteti di Oswald Zuegg Zero Residui 100% da Frutta* Albicocche Italiane 230 g,ZUEGG
4154,349,,Zuegg La Pasticcera Ciliegie 700 g,ZUEGG
7794,289,,"Zuegg, I frutteti di Oswald succo e polpa di albicocca italiana 500 ml",Zuegg
340,305,,Zuegg I frutteti di Oswald Zuegg Mirtilli Neri Selvatici 320 g,Zuegg
412,199,,Zuegg Skipper Arancia Intenso 1000 ml,Zuegg Skipper
3972,159,,Zuegg Fruttino Snack-Break Cotogna 4 x 40 g,ZUEGG
4183,169,,Zuegg Fruttino Snack-Break Cotogna 4 x 40 g,ZUEGG
4350,169,,Zuegg Fruttino Snack-Break Cotogna 4 x 40 g,ZUEGG
4049,249,,Zuegg I frutteti di Oswald Zuegg Zero Residui 100% da Frutta* Albicocche Italiane 230 g,ZUEGG
4081,325,,Zuegg I frutteti di Oswald Zuegg Zero Residui 100% da Frutta* Albicocche Italiane 230 g,ZUEGG
4414,333,,Zuegg I frutteti di Oswald Zuegg Zero Residui 100% da Frutta* Frutti di Bosco Italiani 230 g,ZUEGG
4141,299,,Zuegg La Pasticcera Albicocche 700 g,ZUEGG
4171,279,,Zuegg La Pasticcera Albicocche 700 g,ZUEGG
